Broker,Rater,Industry
TENNIS COURT AND FENCING,Fitness and Recreational Sports Centers,Hotels/Casino/Entertainment
TENNIS COURT FENCING,Fitness and Recreational Sports Centers,Hotels/Casino/Entertainment
TENNIS COURT RESTROOM BUILDING,Fitness and Recreational Sports Centers,Hotels/Casino/Entertainment
Tennis Court Well Station,Fitness and Recreational Sports Centers,Hotels/Casino/Entertainment
TENNIS COURTS,Fitness and Recreational Sports Centers,Hotels/Casino/Entertainment
Tennis Courts (Fencing & Wind Screens),Fitness and Recreational Sports Centers,Hotels/Casino/Entertainment
Tennis Courts (Fencing & Windscreens),Fitness and Recreational Sports Centers,Hotels/Casino/Entertainment
Tennis Courts (Fencing and Wind Screens),Fitness and Recreational Sports Centers,Hotels/Casino/Entertainment
TENNIS COURTS (IMPROV),Fitness and Recreational Sports Centers,Hotels/Casino/Entertainment
Tennis Courts Bleachers,Fitness and Recreational Sports Centers,Hotels/Casino/Entertainment
TENNIS COURTS/FENCE,Fitness and Recreational Sports Centers,Hotels/Casino/Entertainment
Tennis Pavilion,Governmental Office & Administration,Govermental/Municipal
TENNIS RESTROOM BUILDING,Fitness and Recreational Sports Centers,Hotels/Casino/Entertainment
Tennis Restroom Building 1,Fitness and Recreational Sports Centers,Hotels/Casino/Entertainment
Tennis Shack,Fitness and Recreational Sports Centers,Hotels/Casino/Entertainment
TENNIS VILLAS,Mid Rise Apartments - 5-9 stories,Habitational
Test Lab,Laboratories,Health Services
Textile Mill Products,Textiles - Nonwoven,Light Industry
T-Hangar A,Other Support Facilities For Air Transportation,Transportation
T-Hangar B,Other Support Facilities For Air Transportation,Transportation
T-Hangar New Single 14 Units,Other Support Facilities For Air Transportation,Transportation
T-Hangar Old Single 15 Units,Other Support Facilities For Air Transportation,Transportation
T-Hangar Twin Engine Units,Other Support Facilities For Air Transportation,Transportation
The building stores the computer system for the two pumps just outside the building.,Water Supply and Irrigation Systems,Utilities
The Depot Building,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
"The Fountains at
 Bayhill 
Strip Center",Strip Mall,Retail
The Lock Up Storage Unit  B235,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
"The Promenade 
Shopping Center",Strip Mall,Retail
The Sanctuary Outpatient Center,Outpatient Care Centers,Health Services
The Sanctuary Outpatient Surgery,Outpatient Care Centers,Health Services
THEATER - CINEMA,Cinemas,Retail
THEATER - CINEMA 53% AND RETAIL 47%,Cinemas,Retail
Theater Addition,Cinemas,Retail
Theater Administration,Offices,Offices
Theater-Drugstore,Cinemas,Retail
Theaters,Cinemas,Retail
Theaters - Other than Not-For-Profit,Cinemas,Retail
Theaters - Other than Not-For-Profit - If motion pictures or television studios,Cinemas,Retail
Theatre,Lodges and Clubs,Hotels/Casino/Entertainment
THEATRE - CIVIC CENTER,Lodges and Clubs,Hotels/Casino/Entertainment
Theatre Building,Lodges and Clubs,Hotels/Casino/Entertainment
Theatres,Lodges and Clubs,Hotels/Casino/Entertainment
THEATRES - CC 0832 / OC 10,Lodges and Clubs,Hotels/Casino/Entertainment
THERAPEUTIC LIVING FACILITY FOR TEENAGERS,Assisted Living,Health Services
Thermal TDX Mini Lab,Laboratories,Health Services
Third Office,Offices,Offices
THIRD STREET GYMNASIUM,Fitness and Recreational Sports Centers,Hotels/Casino/Entertainment
"This is an active Kimco Site. However, in the past this site was no on our Property SOV. We are including this office space building on Property &  Liability SOV as of 10/1/2018.",Offices,Offices
"This was a devleopment site that was under Builder's Risk Insurance upto 12/31/2018. This sites development was completed as of 12/31/2018. Therefore, we moved this site to our regular Property & Liability Ins. SOV as of 1/1/2019",Miscellaneous Retailers,Retail
Thorpe Park Ball Field,Large Stadium & Arenas,Hotels/Casino/Entertainment
THREE- FAMILY DWELLING LRO,Mid Rise Apartments - 5-9 stories,Habitational
THREE-FAMILY DWELLING LRO,Mid Rise Apartments - 5-9 stories,Habitational
THREE-FAMILYDWELLING LRO,Mid Rise Apartments - 5-9 stories,Habitational
Thrift Shop - Outreach,Miscellaneous Retailers,Retail
THRIFT STORE & APARTMENT,Miscellaneous Retailers,Retail
THRIFT STORE &APARTMENT,Miscellaneous Retailers,Retail
"Thrift Store, CCH Auxiliary",Miscellaneous Retailers,Retail
Thrift Store-leased,Miscellaneous Retailers,Retail
Thrift Stores,Miscellaneous Retailers,Retail
TICKET OFFICE,Offices,Offices
Tico Office,Offices,Offices
Tiki Bar,"Lounges, Night Clubs, Discos",Retail
Timber Scale,Logging,Heavy Industry
Timber Stacker,Logging,Heavy Industry
Timber Totes,Logging,Heavy Industry
Tire Repair Shop,Auto Repair Shop Garage,Retail
Tire Shop,Auto Parts,Retail
tire storage shed,Tire and Tube Merchant Wholesalers,Storage and Wholesale Trade
TL Residence,Mid Rise Apartments - 5-9 stories,Habitational
"To house a 10,000 gallon water tank",Water Supply and Irrigation Systems,Utilities
to house water system,Single Family Dwellings,Habitational
Tobacco Products,Tobacco Cigarette Manufacturing,Light Industry
Tobacco Products Manufacturing,Tobacco Cigarette Manufacturing,Light Industry
Tobacco Products Mfg.,Tobacco Cigarette Manufacturing,Light Industry
Tobacco Products Store,Miscellaneous Retailers,Retail
Tobacco Products Stores,Miscellaneous Retailers,Retail
TOBACCO SHOP,Miscellaneous Retailers,Retail
Tobacco Store,Miscellaneous Retailers,Retail
TOLBERT PARK PLAYGROUND,Fitness and Recreational Sports Centers,Hotels/Casino/Entertainment
Tomato Packing Plant,Processed Food Manufacturing - Non-Frozen,Food
"Tool and Equipment Storage, Archive Files Storage",General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Topanga Apartments,Mid Rise Apartments - 5-9 stories,Habitational
Tourism Offices,Offices,Offices
Town Center Admin./Retail,Offices,Offices
TOWN HALL,Governmental Office & Administration,Govermental/Municipal
Town Hall - Brooks Chapel,Governmental Office & Administration,Govermental/Municipal
Town Hall - Fire Department,Governmental Office & Administration,Govermental/Municipal
TOWN HALL - FIRE STATION,Governmental Office & Administration,Govermental/Municipal
Town Hall and Community Building,Governmental Office & Administration,Govermental/Municipal
Town Hall Annex,Governmental Office & Administration,Govermental/Municipal
Town Home,Single Family Dwellings,Habitational
Town School,Schools,Education
Townhome - Occupied,Single Family Dwellings,Habitational
TOWNHOMES,Single Family Dwellings,Habitational
townhouse,Single Family Dwellings,Habitational
Townhouse 1,Single Family Dwellings,Habitational
Townhouse 2,Single Family Dwellings,Habitational
Townhouse 3,Single Family Dwellings,Habitational
Townhouse 62-65,Single Family Dwellings,Habitational
Townhouse 66-71,Single Family Dwellings,Habitational
Townhouse 72-75,Single Family Dwellings,Habitational
Townhouse 79-82,Single Family Dwellings,Habitational
Townhouse 83-86,Single Family Dwellings,Habitational
Townhouse Building D,Single Family Dwellings,Habitational
Townhouses,Single Family Dwellings,Habitational
Toxicology Lab,Laboratories,Health Services
Toybox Hangar - Office Complex,Offices,Offices
Toys/Toy Products Mfg,Plastics Product Manufacturing,Heavy Industry
Tractor Lab,Laboratories,Health Services
Tractor Shed,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Trade School -Recording Studio,Recording Studio,Hotels/Casino/Entertainment
Traffic Light System,Roads/Highways/Toll Roads,Transportation
Trailer - Office Bldg.,Offices,Offices
Trailer / Storage r/a Miscellaneous Products Storage - (Other Than Retail Or Wholesale,Temporary Camps and Campgrounds,Hotels/Casino/Entertainment
Trailer trailer - live-in for employee housing,Temporary Camps and Campgrounds,Hotels/Casino/Entertainment
Trailers parked outside,Temporary Camps and Campgrounds,Hotels/Casino/Entertainment
Trailers parked outside (3),Governmental Office & Administration,Govermental/Municipal
Trailers parked outside home,Temporary Camps and Campgrounds,Hotels/Casino/Entertainment
Train Depot,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Train Depot - Storage Building,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Train Depot Building,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
TRAIN SHED,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Training and Storage,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Training Classroom,Schools,Education
Transformer,T&D,Utilities
Transformers,T&D,Utilities
TRANSIT WAREHOUSE,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Transporation Services - 26,Bus Transport Terminal,Transportation
TRAVEL AGENCY,Miscellaneous Retailers,Retail
Travel Trailers-Parked Outside,Temporary Camps and Campgrounds,Hotels/Casino/Entertainment
Treasure Classrooms,Schools,Education
Treatment Plant,Water & Sewage Treatment Facilities,Utilities
Tree Storage w/ Refrigeration Unit,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Tree Storage w/ Refrigeration Unit - For storage of tree seedlings,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
"Trees Cooler, Warehouse, Radio Repair and Communications Equipment Storage",General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Triple net lease,Single Family Dwellings,Habitational
Triplex,Mid Rise Apartments - 5-9 stories,Habitational
tri-plex,Mid Rise Apartments - 5-9 stories,Habitational
Triplex - Occupied,Mid Rise Apartments - 5-9 stories,Habitational
Truck Maintenance Building,Auto Repair Shop Garage,Retail
Truck maintenance garage,Machinery Manufacturing,Light Industry
Truck Repair,Auto Repair Shop Garage,Retail
"truck repair, haz. waste facility, misc. bldgs. ",Miscellaneous Waste Management,Heavy Industry
Truck Scale,Auto Repair Shop Garage,Retail
Truck Wash,Car Washes,Retail
Truckers,Bus Transport Terminal,Transportation
Truman Street Residence,Mid Rise Apartments - 5-9 stories,Habitational
Tube Storage,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Tully's Coffee,Supermarkets and Grocery,Retail
Turner RAS Outdoor Classroom/Stor,Schools,Education
TV Production Studios,Tv and Radio Stations,Communications
TWO - FAMILY DWELLING LRO,Mid Rise Apartments - 5-9 stories,Habitational
TWO – FAMILY DWELLING LRO,Mid Rise Apartments - 5-9 stories,Habitational
TWO - FAMILYDWELLING LRO,Mid Rise Apartments - 5-9 stories,Habitational
TWO – FAMILYDWELLING LRO,Mid Rise Apartments - 5-9 stories,Habitational
TWO APARTMENTS,Mid Rise Apartments - 5-9 stories,Habitational
"TWO AUTO REPAIR SHOPS, WAREHOUSE AND OFFICE",Auto Repair Shop Garage,Retail
Two Family Dwelling,Mid Rise Apartments - 5-9 stories,Habitational
TWO FAMILY HOUSE,Mid Rise Apartments - 5-9 stories,Habitational
TWO FAMILY RENTAL HOME,Mid Rise Apartments - 5-9 stories,Habitational
Two Story Residential Building,Mid Rise Apartments - 5-9 stories,Habitational
Two-Fam,Mid Rise Apartments - 5-9 stories,Habitational
Two-Family Dwelling LRO,Mid Rise Apartments - 5-9 stories,Habitational
Under Construction,Construction Contractors,Light Industry
Under Construction-Builders Risk-Dwlg,Single Family Dwellings,Habitational
Union Pier #1 (Warehouse),General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
UNIT RESTAURANT,Restaurants - Not Fast Food,Retail
"Units A, B, C, D, and Security Office",Offices,Offices
Universities and Colleges,Universities and Colleges,Education
University Camp Assembly Building,Universities and Colleges,Education
University Camp Cabin 1,Universities and Colleges,Education
University Camp Cabin 2,Universities and Colleges,Education
University Camp Cabin 3,Universities and Colleges,Education
University Camp Cabin 4,Universities and Colleges,Education
University Camp Guest Cabin,Universities and Colleges,Education
University Camp Kitchen,Universities and Colleges,Education
University Camp Mens Bath House,Universities and Colleges,Education
University Camp Pool House,Universities and Colleges,Education
University Camp Portable Storage,Universities and Colleges,Education
University Camp Raven Room,Universities and Colleges,Education
University Camp Storage Barn / Maintenance Shop,Universities and Colleges,Education
University Camp Visitors Barn,Universities and Colleges,Education
University Camp Woments Bath House,Universities and Colleges,Education
UNIVERSITY PLACE COMMUNITY PARK,Universities and Colleges,Education
University Plaza (BTB),Universities and Colleges,Education
Unknown,Unknown,Unknown
Unloading Dock,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Unloading Shed,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Unscheduled Borrowed Equp,Unknown,Unknown
Unsold Condo,Mid Rise Condos - 5-9 stories,Habitational
Unsold Condo/ Rental unit,Mid Rise Condos - 5-9 stories,Habitational
Unsold Condo/Rental unit,Mid Rise Condos - 5-9 stories,Habitational
Unsold Co-op,Mid Rise Condos - 5-9 stories,Habitational
UPD Storage Building,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Upholstery shops,Home Furnishing Stores,Retail
Urgent Care & Diagnostics,Home Health Care Service,Health Services
Used by interpretive ranger for JR programs and research/storage.,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
USED CAR DEALER,Auto Dealers,Retail
Utilities,Correctional Institutions and Prisons,Govermental/Municipal
Utilities - Sewage,Other Electric Power Generation,Utilities
Utilities - Water,Other Electric Power Generation,Utilities
Utilities Electric,T&D,Utilities
Utilities Office,Other Electric Power Generation,Utilities
Utilities Office and Warehouse,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
